,ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,Unnamed: 10
292,20.0,20.0,100.0,40.0,1500.0,1500.0,0.006,0.1588,2.0,0.193,
293,20.0,20.0,100.0,40.0,1500.0,1500.0,0.006,0.1588,3.0,0.201,
294,20.0,20.0,100.0,40.0,1500.0,1500.0,0.01,0.149,1.0,0.16,
295,20.0,20.0,100.0,40.0,1500.0,1500.0,0.01,0.149,2.0,0.158,
296,20.0,20.0,100.0,40.0,1500.0,1500.0,0.01,0.149,3.0,0.159,
297,20.0,20.0,100.0,40.0,1500.0,1500.0,0.012,0.1474,1.0,0.166,
298,20.0,20.0,100.0,40.0,1500.0,1500.0,0.012,0.1474,2.0,0.166,
299,20.0,20.0,100.0,40.0,1500.0,1500.0,0.012,0.1474,3.0,0.159,
300,20.0,20.0,100.0,40.0,1500.0,1500.0,0.014,0.1462,1.0,0.165,
301,20.0,20.0,100.0,40.0,1500.0,1500.0,0.014,0.1462,2.0,0.167,
302,20.0,20.0,100.0,40.0,1500.0,1500.0,0.014,0.1462,3.0,0.167,
303,20.0,20.0,100.0,40.0,1500.0,1500.0,0.016,0.1449,1.0,0.166,
304,20.0,20.0,100.0,40.0,1500.0,1500.0,0.016,0.1449,2.0,0.166,
305,20.0,20.0,100.0,40.0,1500.0,1500.0,0.016,0.1449,3.0,0.169,
309,20.0,20.0,100.0,40.0,1600.0,1600.0,0.006,0.159,1.0,0.192,
310,20.0,20.0,100.0,40.0,1600.0,1600.0,0.006,0.159,2.0,0.193,
311,20.0,20.0,100.0,40.0,1600.0,1600.0,0.006,0.159,3.0,0.198,
312,20.0,20.0,100.0,40.0,1600.0,1600.0,0.01,0.1496,1.0,0.159,
313,20.0,20.0,100.0,40.0,1600.0,1600.0,0.01,0.1496,2.0,0.164,
314,20.0,20.0,100.0,40.0,1600.0,1600.0,0.01,0.1496,3.0,0.162,
315,20.0,20.0,100.0,40.0,1600.0,1600.0,0.012,0.1478,1.0,0.169,
316,20.0,20.0,100.0,40.0,1600.0,1600.0,0.012,0.1478,2.0,0.17,
317,20.0,20.0,100.0,40.0,1600.0,1600.0,0.012,0.1478,3.0,0.167,
318,20.0,20.0,100.0,40.0,1600.0,1600.0,0.014,0.1467,1.0,0.16,
319,20.0,20.0,100.0,40.0,1600.0,1600.0,0.014,0.1467,2.0,0.167,
320,20.0,20.0,100.0,40.0,1600.0,1600.0,0.014,0.1467,3.0,0.162,
321,20.0,20.0,100.0,40.0,1600.0,1600.0,0.016,0.1456,1.0,0.162,
322,20.0,20.0,100.0,40.0,1600.0,1600.0,0.016,0.1456,2.0,0.167,
323,20.0,20.0,100.0,40.0,1600.0,1600.0,0.016,0.1456,3.0,0.169,
327,20.0,20.0,100.0,40.0,1700.0,1700.0,0.006,0.1593,1.0,0.195,
328,20.0,20.0,100.0,40.0,1700.0,1700.0,0.006,0.1593,2.0,0.201,
329,20.0,20.0,100.0,40.0,1700.0,1700.0,0.006,0.1593,3.0,0.197,
330,20.0,20.0,100.0,40.0,1700.0,1700.0,0.01,0.1501,1.0,0.152,
