ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,
20,20,100,40,1700,1700,0.02,0.1444,1,발산,
20,20,100,40,1700,1700,0.02,0.1444,2,발산,
20,20,100,40,1700,1700,0.02,0.1444,3,발산,
20,20,100,40,2000,2000,0.006,0.1608,1,0.213,
20,20,100,40,2000,2000,0.006,0.1608,2,0.203,
20,20,100,40,2000,2000,0.006,0.1608,3,0.208,
20,20,100,40,2000,2000,0.01,0.1517,1,0.162,
20,20,100,40,2000,2000,0.01,0.1517,2,0.156,
20,20,100,40,2000,2000,0.01,0.1517,3,0.163,
20,20,100,40,2000,2000,0.012,0.1501,1,0.176,
20,20,100,40,2000,2000,0.012,0.1501,2,0.179,
20,20,100,40,2000,2000,0.012,0.1501,3,0.183,
20,20,100,40,2000,2000,0.014,0.1493,1,0.165,
20,20,100,40,2000,2000,0.014,0.1493,2,0.173,
20,20,100,40,2000,2000,0.014,0.1493,3,0.173,
20,20,100,40,2000,2000,0.016,0.1497,1,0.171,
20,20,100,40,2000,2000,0.016,0.1497,2,0.174,
20,20,100,40,2000,2000,0.016,0.1497,3,0.168,
20,20,100,40,2000,2000,0.02,0.1531,1,0.157,
20,20,100,40,2000,2000,0.02,0.1531,2,0.151,
20,20,100,40,2000,2000,0.02,0.1531,3,0.157,
,,,,,,,,,,
20,20,100,50,1400,1400,0.006,0.1561,1,0.186,
20,20,100,50,1400,1400,0.006,0.1561,2,0.188,
20,20,100,50,1400,1400,0.006,0.1561,3,0.186,
20,20,100,50,1400,1400,0.01,0.147,1,0.157,
20,20,100,50,1400,1400,0.01,0.147,2,0.157,
20,20,100,50,1400,1400,0.01,0.147,3,0.158,
20,20,100,50,1400,1400,0.012,0.1451,1,0.16,
20,20,100,50,1400,1400,0.012,0.1451,2,0.161,
20,20,100,50,1400,1400,0.012,0.1451,3,0.163,
20,20,100,50,1400,1400,0.014,0.1433,1,0.205,
20,20,100,50,1400,1400,0.014,0.1433,2,0.206,
20,20,100,50,1400,1400,0.014,0.1433,3,0.21,
20,20,100,50,1400,1400,0.016,0.1417,1,발산,
20,20,100,50,1400,1400,0.016,0.1417,2,발산,
20,20,100,50,1400,1400,0.016,0.1417,3,발산,
20,20,100,50,1400,1400,0.02,0.1387,1,발산,
20,20,100,50,1400,1400,0.02,0.1387,2,발산,
20,20,100,50,1400,1400,0.02,0.1387,3,발산,
20,20,100,50,1500,1500,0.006,0.1562,1,0.181,
20,20,100,50,1500,1500,0.006,0.1562,2,0.186,
20,20,100,50,1500,1500,0.006,0.1562,3,0.187,
20,20,100,50,1500,1500,0.01,0.1471,1,0.146,
20,20,100,50,1500,1500,0.01,0.1471,2,0.148,
20,20,100,50,1500,1500,0.01,0.1471,3,0.145,
20,20,100,50,1500,1500,0.012,0.1454,1,0.147,
20,20,100,50,1500,1500,0.012,0.1454,2,0.153,
20,20,100,50,1500,1500,0.012,0.1454,3,0.149,
20,20,100,50,1500,1500,0.014,0.1437,1,0.148,
20,20,100,50,1500,1500,0.014,0.1437,2,0.15,
20,20,100,50,1500,1500,0.014,0.1437,3,0.148,
20,20,100,50,1500,1500,0.016,0.1421,1,0.227,
20,20,100,50,1500,1500,0.016,0.1421,2,0.217,
20,20,100,50,1500,1500,0.016,0.1421,3,0.222,
20,20,100,50,1500,1500,0.02,0.1391,1,발산,
20,20,100,50,1500,1500,0.02,0.1391,2,발산,
20,20,100,50,1500,1500,0.02,0.1391,3,발산,
20,20,100,50,1600,1600,0.006,0.1563,1,0.174,
20,20,100,50,1600,1600,0.006,0.1563,2,0.178,
20,20,100,50,1600,1600,0.006,0.1563,3,0.178,
20,20,100,50,1600,1600,0.01,0.1474,1,0.156,
20,20,100,50,1600,1600,0.01,0.1474,2,0.158,
20,20,100,50,1600,1600,0.01,0.1474,3,0.154,
20,20,100,50,1600,1600,0.012,0.1456,1,0.146,
20,20,100,50,1600,1600,0.012,0.1456,2,0.147,
20,20,100,50,1600,1600,0.012,0.1456,3,0.146,
20,20,100,50,1600,1600,0.014,0.144,1,0.146,
20,20,100,50,1600,1600,0.014,0.144,2,0.141,
20,20,100,50,1600,1600,0.014,0.144,3,0.146,
20,20,100,50,1600,1600,0.016,0.1425,1,0.162,
20,20,100,50,1600,1600,0.016,0.1425,2,0.156,
20,20,100,50,1600,1600,0.016,0.1425,3,0.157,
20,20,100,50,1600,1600,0.02,0.1397,1,발산,
20,20,100,50,1600,1600,0.02,0.1397,2,발산,
20,20,100,50,1600,1600,0.02,0.1397,3,발산,
20,20,100,50,1700,1700,0.006,0.1566,1,0.182,
20,20,100,50,1700,1700,0.006,0.1566,2,0.189,
20,20,100,50,1700,1700,0.006,0.1566,3,0.181,
20,20,100,50,1700,1700,0.01,0.1478,1,0.155,
20,20,100,50,1700,1700,0.01,0.1478,2,0.148,
20,20,100,50,1700,1700,0.01,0.1478,3,0.153,
20,20,100,50,1700,1700,0.012,0.1459,1,0.146,
20,20,100,50,1700,1700,0.012,0.1459,2,0.152,
20,20,100,50,1700,1700,0.012,0.1459,3,0.146,
20,20,100,50,1700,1700,0.014,0.1444,1,0.144,
20,20,100,50,1700,1700,0.014,0.1444,2,0.143,
20,20,100,50,1700,1700,0.014,0.1444,3,0.143,
20,20,100,50,1700,1700,0.016,0.1429,1,0.146,
20,20,100,50,1700,1700,0.016,0.1429,2,0.145,
20,20,100,50,1700,1700,0.016,0.1429,3,0.144,
20,20,100,50,1700,1700,0.02,0.1401,1,발산,
20,20,100,50,1700,1700,0.02,0.1401,2,발산,
20,20,100,50,1700,1700,0.02,0.1401,3,발산,
20,20,100,50,2000,2000,0.006,0.1576,1,0.18,
20,20,100,50,2000,2000,0.006,0.1576,2,0.175,
20,20,100,50,2000,2000,0.006,0.1576,3,0.179,
20,20,100,50,2000,2000,0.01,0.1489,1,0.161,
20,20,100,50,2000,2000,0.01,0.1489,2,0.161,
20,20,100,50,2000,2000,0.01,0.1489,3,0.162,
20,20,100,50,2000,2000,0.012,0.147,1,0.148,
20,20,100,50,2000,2000,0.012,0.147,2,0.155,
20,20,100,50,2000,2000,0.012,0.147,3,0.148,
20,20,100,50,2000,2000,0.014,0.1455,1,0.157,
20,20,100,50,2000,2000,0.014,0.1455,2,0.154,
20,20,100,50,2000,2000,0.014,0.1455,3,0.155,
20,20,100,50,2000,2000,0.016,0.1441,1,0.158,
20,20,100,50,2000,2000,0.016,0.1441,2,0.151,
20,20,100,50,2000,2000,0.016,0.1441,3,0.155,
20,20,100,50,2000,2000,0.02,0.1416,1,0.17,
20,20,100,50,2000,2000,0.02,0.1416,2,0.174,
20,20,100,50,2000,2000,0.02,0.1416,3,0.176,
,,,,,,,,,,
20,20,100,65,1400,1400,0.006,0.1521,1,0.176,
20,20,100,65,1400,1400,0.006,0.1521,2,0.176,
20,20,100,65,1400,1400,0.006,0.1521,3,0.177,
20,20,100,65,1400,1400,0.01,0.1452,1,0.155,
20,20,100,65,1400,1400,0.01,0.1452,2,0.152,
20,20,100,65,1400,1400,0.01,0.1452,3,0.156,
20,20,100,65,1400,1400,0.012,0.1435,1,0.279,
20,20,100,65,1400,1400,0.012,0.1435,2,0.281,
20,20,100,65,1400,1400,0.012,0.1435,3,0.283,
